pcm,套件,引擎
SceneId-8/挂断/挂断市区半开窗/F001_挂断_004.wav,53,86
SceneId-8/挂断/挂断高架中档/M003_挂断_008.wav,125,127
SceneId-8/挂断/挂断高架中档/M001_挂断_004.wav,112,109
SceneId-8/挂断/挂断高架中档/F003_挂断_010.wav,133,132
SceneId-8/挂断/挂断郊区开窗/F002_挂断_015.wav,82,115
SceneId-8/挂断/挂断高架中档/F003_挂断_014.wav,98,99
SceneId-8/挂断/挂断高架中档/F004_挂断_013.wav,73,72
SceneId-8/接听/接听郊区开窗/M005_接听_006.wav,None,172
SceneId-8/接听/接听高架中档/M004_接听_008.wav,159,171
SceneId-8/接听/接听郊区开窗/M003_接听_010.wav,159,167
SceneId-8/挂断/挂断市区半开窗/M004_挂断_014.wav,61,51
SceneId-8/挂断/挂断郊区开窗/F005_挂断_010.wav,146,154
SceneId-8/挂断/挂断郊区开窗/M001_挂断_009.wav,132,127
SceneId-8/接听/接听高架中档/F001_接听_009.wav,155,None
SceneId-8/挂断/挂断郊区开窗/F005_挂断_004.wav,110,100
SceneId-8/接听/接听市区半开窗/M003_接听_010.wav,None,引擎未测试
SceneId-8/挂断/挂断市区半开窗/M003_挂断_001.wav,127,139
SceneId-8/挂断/挂断市区半开窗/M002_挂断_005.wav,62,76
SceneId-8/接听/接听高架中档/M003_接听_008.wav,157,116
SceneId-8/挂断/挂断高架中档/M005_挂断_013.wav,104,117
SceneId-8/接听/接听高架中档/M005_接听_007.wav,None,167
SceneId-8/接听/接听高架中档/M005_接听_008.wav,170,159
SceneId-8/挂断/挂断高架中档/M002_挂断_012.wav,67,76
SceneId-8/挂断/挂断高架中档/M004_挂断_001.wav,131,117
SceneId-8/挂断/挂断市区半开窗/M004_挂断_015.wav,92,71
SceneId-8/挂断/挂断高架中档/M004_挂断_011.wav,66,None
SceneId-8/挂断/挂断高架中档/F004_挂断_006.wav,150,156
SceneId-8/挂断/挂断郊区开窗/F004_挂断_013.wav,51,53
SceneId-8/挂断/挂断市区半开窗/F004_挂断_013.wav,86,92
SceneId-8/挂断/挂断高架中档/F004_挂断_002.wav,147,137
SceneId-8/挂断/挂断郊区开窗/F005_挂断_014.wav,None,127
SceneId-8/接听/接听高架中档/M002_接听_005.wav,None,122
SceneId-8/挂断/挂断市区半开窗/F003_挂断_010.wav,109,93
SceneId-8/挂断/挂断市区半开窗/M004_挂断_007.wav,151,126
SceneId-8/接听/接听郊区开窗/M004_接听_014.wav,152,147
SceneId-8/挂断/挂断高架中档/M004_挂断_008.wav,133,91
SceneId-8/接听/接听郊区开窗/M004_接听_005.wav,231,214
SceneId-8/接听/接听高架中档/F003_接听_008.wav,111,110
SceneId-8/挂断/挂断市区半开窗/F001_挂断_012.wav,76,None
SceneId-8/挂断/挂断市区半开窗/M001_挂断_001.wav,106,引擎未测试
SceneId-8/挂断/挂断高架中档/M002_挂断_008.wav,155,142
SceneId-8/接听/接听高架中档/M003_接听_004.wav,96,149
SceneId-8/挂断/挂断高架中档/M004_挂断_009.wav,86,132
SceneId-8/挂断/挂断高架中档/F004_挂断_010.wav,98,107
SceneId-8/挂断/挂断郊区开窗/M001_挂断_012.wav,133,62
SceneId-8/挂断/挂断市区半开窗/M003_挂断_009.wav,141,113
SceneId-8/挂断/挂断高架中档/F001_挂断_010.wav,142,140
SceneId-8/挂断/挂断市区半开窗/F003_挂断_006.wav,136,144
SceneId-8/挂断/挂断高架中档/F001_挂断_015.wav,80,70
SceneId-8/挂断/挂断高架中档/M005_挂断_006.wav,145,140
SceneId-8/接听/接听高架中档/F001_接听_011.wav,106,None
SceneId-8/接听/接听市区半开窗/F004_接听_010.wav,137,126
SceneId-8/接听/接听高架中档/F002_接听_005.wav,182,None
SceneId-8/接听/接听郊区开窗/M004_接听_012.wav,193,196
SceneId-8/挂断/挂断郊区开窗/M003_挂断_007.wav,118,117
SceneId-8/挂断/挂断市区半开窗/F001_挂断_011.wav,97,64
SceneId-8/挂断/挂断郊区开窗/F005_挂断_002.wav,80,56
SceneId-8/接听/接听高架中档/F004_接听_002.wav,197,189
SceneId-8/挂断/挂断市区半开窗/M003_挂断_013.wav,76,None
SceneId-8/接听/接听市区半开窗/M004_接听_005.wav,171,176
SceneId-8/挂断/挂断郊区开窗/F003_挂断_011.wav,80,117
SceneId-8/挂断/挂断市区半开窗/M001_挂断_011.wav,107,94
SceneId-8/接听/接听市区半开窗/F001_接听_009.wav,132,135
SceneId-8/接听/接听郊区开窗/M004_接听_008.wav,198,185
SceneId-8/挂断/挂断郊区开窗/F001_挂断_006.wav,120,147
SceneId-8/挂断/挂断郊区开窗/F001_挂断_002.wav,62,65
SceneId-8/挂断/挂断高架中档/M002_挂断_011.wav,112,100
SceneId-8/X3/M102_151.wav,54,56
SceneId-8/挂断/挂断高架中档/F003_挂断_003.wav,None,引擎未测试
SceneId-8/挂断/挂断郊区开窗/M001_挂断_013.wav,62,None
SceneId-8/X3/M012_149.wav,148,147
SceneId-8/挂断/挂断高架中档/M001_挂断_015.wav,124,141
SceneId-8/挂断/挂断高架中档/M001_挂断_005.wav,71,65
SceneId-8/挂断/挂断高架中档/F001_挂断_002.wav,98,88
