loadRes_time,srh_time,srh ret,text
2490,157,0,"(field=Album,query=Demi,fuzzy=1,searchType=SR)"
2536,53,0,"(field=Album,query=Frozen 冰雪大冒险,fuzzy=1,searchType=SR)"
2481,140,0,"(field=Album,query=Hybrid Theory,fuzzy=1,searchType=SR)"
2547,134,0,"(field=Album,query=The Best Damn Thing,fuzzy=1,searchType=SR)"
2511,71,0,"(field=Album,query=我的歌声里,fuzzy=1,searchType=SR)"
2537,102,0,"(field=Album,query=Over The Rainbow,fuzzy=1,searchType=SR)"
2509,74,0,"(field=Album,query=Born This Way,fuzzy=1,searchType=SR)"
2506,72,0,"(field=Album,query=Just Dance,fuzzy=1,searchType=SR)"
2484,59,0,"(field=Album,query=Unity - The Official Athens 2004 Olympic Games Album,fuzzy=1,searchType=SR)"
2492,49,0,"(field=Album,query=The Taylor Swift Holiday Collection,fuzzy=1,searchType=SR)"
2495,88,0,"(field=Album,query=2010年12月欧美新歌速递2,fuzzy=1,searchType=SR)"
2504,174,0,"(field=Album,query=Let It Go,fuzzy=1,searchType=SR)"
2498,183,0,"(field=Album,query=Avril Lavigne,fuzzy=1,searchType=SR)"
2560,203,0,"(field=Album,query=Heart And Soul,fuzzy=1,searchType=SR)"
2504,65,0,"(field=Album,query=我的歌声里,fuzzy=1,searchType=SR)"
2493,52,0,"(field=Album,query=Graceland 恩赐之地,fuzzy=1,searchType=SR)"
2503,185,0,"(field=Album,query=Curtain Call,fuzzy=1,searchType=SR)"
3205,184,0,"(field=Album,query=To Hebe,fuzzy=1,searchType=SR)"
2532,86,0,"(field=Album,query=My World,fuzzy=1,searchType=SR)"
2566,54,0,"(field=Album,query=Xscape (Deluxe),fuzzy=1,searchType=SR)"
2509,63,0,"(field=Album,query=Say The Words 我为你歌唱,fuzzy=1,searchType=SR)"
2494,83,0,"(field=Album,query=节奏大师 曲目集合 Rhythm Master Collection I,fuzzy=1,searchType=SR)"
2486,50,0,"(field=Album,query=Kikujiro,fuzzy=1,searchType=SR)"
2514,164,0,"(field=Album,query=Demi,fuzzy=1,searchType=SR)"
2497,78,0,"(field=Album,query=中国好声音第二季 巅峰之夜,fuzzy=1,searchType=SR)"
2496,50,0,"(field=Album,query=The Fame Monster (Deluxe Edition),fuzzy=1,searchType=SR)"
2501,50,0,"(field=Album,query=Dawn Of A New Century,fuzzy=1,searchType=SR)"
2511,56,0,"(field=Album,query=Kiss Deluxe Version,fuzzy=1,searchType=SR)"
2480,50,0,"(field=Album,query=Planet Pit (Deluxe Version),fuzzy=1,searchType=SR)"
2498,104,0,"(field=Album,query=Songbird-The Ultimate Collection,fuzzy=1,searchType=SR)"
2507,79,0,"(field=Album,query=Speak Now,fuzzy=1,searchType=SR)"
2507,157,0,"(field=Album,query=Demi,fuzzy=1,searchType=SR)"
2520,214,0,"(field=Album,query=The Love Album,fuzzy=1,searchType=SR)"
2526,170,0,"(field=Album,query=Meteora,fuzzy=1,searchType=SR)"
2520,91,0,"(field=Album,query=Xposed,fuzzy=1,searchType=SR)"
2512,45,0,"(field=Album,query=挑信,fuzzy=1,searchType=SR)"
2482,74,0,"(field=Album,query=我是歌手 第七期,fuzzy=1,searchType=SR)"
2498,96,0,"(field=Album,query=Global Warming,fuzzy=1,searchType=SR)"
2505,108,0,"(field=Album,query=Over The Rainbow,fuzzy=1,searchType=SR)"
2506,146,0,"(field=Album,query=Songs From A Secret Garden,fuzzy=1,searchType=SR)"
2506,197,0,"(field=Album,query=Part Of Me,fuzzy=1,searchType=SR)"
2513,153,0,"(field=Album,query=Songs From A Secret Garden,fuzzy=1,searchType=SR)"
2531,55,0,"(field=Album,query=Overexposed,fuzzy=1,searchType=SR)"
2502,192,0,"(field=Album,query=Teenage Dream,fuzzy=1,searchType=SR)"
2523,175,0,"(field=Album,query=Native,fuzzy=1,searchType=SR)"
2505,193,0,"(field=Album,query=Planet Pit,fuzzy=1,searchType=SR)"
2518,149,0,"(field=Album,query=The Marshall Mathers LP2,fuzzy=1,searchType=SR)"
2561,90,0,"(field=Album,query=Red (Deluxe Version),fuzzy=1,searchType=SR)"
2509,104,0,"(field=Album,query=run away,fuzzy=1,searchType=SR)"
2556,143,0,"(field=Album,query=The Hunger Games: Songs From District 12 And Beyond,fuzzy=1,searchType=SR)"
2513,152,0,"(field=Album,query=Westlife,fuzzy=1,searchType=SR)"
