loadRes_time,srh_time,text
1930,267
1540,257
1199,113
1048,75
1054,43
1017,150
1012,249
1022,258
1071,603
1032,257
1003,453
1020,300
1040,60
1045,56
1026,32
1008,123
1071,60
999,224
999,387
1072,217
996,239
1000,178
1077,206
1045,50
1076,215
1007,292
978,467
1000,158
1037,224
1011,185
1011,150
1064,333
1031,113
1022,237
997,179
1044,52
1000,199
1044,530
1005,249
1062,212
1009,177
1022,218
1045,206
1027,808
1041,61
1024,65
1048,64
1013,32
1003,63
1049,188
1032,34
1030,55
1072,321
1023,527
1034,83
1047,224
997,62
1069,222
1042,76
1023,225
1039,230
1092,195
1060,401
1023,51
1030,341
1016,106
1063,427
1040,443
1077,49
1050,541
998,441
1012,189
1072,250
1043,422
1036,386
1036,55
1057,228
1025,418
986,54
1051,309
1050,98
1061,198
1050,467
1047,228
1033,50
1041,209
1000,201
1041,61
1049,21
971,157
1010,213
1046,52
1066,243
1002,56
1015,222
1079,202
1052,244
1005,96
1027,193
1018,199
1081,196
995,428
1027,280
1032,454
1024,223
1011,140
1074,150
1078,62
1029,246
1033,122
1096,225
1066,299
1057,385
969,245
1068,60
1012,204
1005,82
1025,187
1024,133
1044,248
1039,182
1026,221
1054,250
1003,212
1005,216
1018,210
1137,56
972,50
1018,205
1044,283
1052,183
1018,224
1028,157
1009,226
1047,207
1004,129
1030,250
1022,236
1020,233
1025,369
1018,285
1036,79
1031,151
998,77
1003,48
1023,483
1062,93
999,361
1026,70
1034,237
1030,202
1047,203
1014,37
1025,317
1018,376
996,493
1037,193
1054,330
1037,274
997,154
1044,624
1021,73
1031,209
1031,487
1029,420
1016,311
970,211
1055,247
1059,101
976,53
1013,246
1018,139
1159,242
988,238
1274,49
1508,492
1103,190
1244,562
1090,80
1056,211
1046,247
1079,225
1065,212
1027,338
1015,85
1013,73
1056,202
1018,193
997,228
1029,352
1030,219
1008,272
1026,112
1006,81
1037,416
1022,376
1059,230
1062,87
1021,46
1007,118
1058,86
1065,206
1033,205
1017,70
1042,266
1046,194
1014,310
1016,225
1028,172
1033,215
1017,218
1022,308
1072,395
1043,97
995,242
1032,204
1047,378
1008,52
1044,200
1060,199
1074,199
1028,118
992,408
1058,67
1091,206
1009,483
1015,117
1030,236
1058,36
1026,19
1036,181
1032,21
