loadRes_time,srh_time,srh ret,text
5449,321,0,"(field=Album,query=岳云鹏相声集,fuzzy=1,searchType=SR)"
4559,100,0,"(field=Album,query=Neon Genesis Evangelion S2 Works,fuzzy=1,searchType=SR)"
4059,82,0,"(field=Album,query=岳云鹏相声集,fuzzy=1,searchType=SR)"
3115,63,0,"(field=Album,query=遇上爱,fuzzy=1,searchType=SR)"
2758,92,0,"(field=Album,query=遇上爱,fuzzy=1,searchType=SR)"
3692,72,0,"(field=Album,query=Xscape (Deluxe),fuzzy=1,searchType=SR)"
4362,53,0,"(field=Album,query=18...台湾版,fuzzy=1,searchType=SR)"
3291,615,0,"(field=Album,query=Songs From A Secret Garden,fuzzy=1,searchType=SR)"
2672,233,0,"(field=Album,query=Surfacing,fuzzy=1,searchType=SR)"
2684,155,0,"(field=Album,query=Alejandro,fuzzy=1,searchType=SR)"
3618,80,0,"(field=Album,query=Goodbye Lullaby (Deluxe Edition),fuzzy=1,searchType=SR)"
3727,84,0,"(field=Album,query=Waking Up,fuzzy=1,searchType=SR)"
3138,77,0,"(field=Album,query=Waking Up,fuzzy=1,searchType=SR)"
3214,34,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
3519,52,0,"(field=Album,query=JJ陆,fuzzy=1,searchType=SR)"
3347,70,0,"(field=Album,query=25周年精选,fuzzy=1,searchType=SR)"
3768,126,0,"(field=Album,query=World Of Our Own,fuzzy=1,searchType=SR)"
3402,159,0,"(field=Album,query=Music From The City Of Angels Motion Picture Soundtrack,fuzzy=1,searchType=SR)"
3095,326,0,"(field=Album,query=Animals,fuzzy=1,searchType=SR)"
4131,134,0,"(field=Album,query=2011年震撼现场精选合辑(上),fuzzy=1,searchType=SR)"
3395,289,0,"(field=Album,query=Applause,fuzzy=1,searchType=SR)"
2635,197,0,"(field=Album,query=I'M In The Mood For Love ... The Most Romantic Melodies Of All Time,fuzzy=1,searchType=SR)"
3498,60,0,"(field=Album,query=Hot In Ibiza-Sunset,fuzzy=1,searchType=SR)"
3313,106,0,"(field=Album,query=My Worlds,fuzzy=1,searchType=SR)"
4053,131,0,"(field=Album,query=This Is The Sound Of...2010,fuzzy=1,searchType=SR)"
3160,355,0,"(field=Album,query=Baby Boy,fuzzy=1,searchType=SR)"
3067,97,0,"(field=Album,query=Speak Now,fuzzy=1,searchType=SR)"
3812,134,0,"(field=Album,query=King Of Pop,fuzzy=1,searchType=SR)"
4022,241,0,"(field=Album,query=The Fame,fuzzy=1,searchType=SR)"
3298,74,0,"(field=Album,query=Overexposed,fuzzy=1,searchType=SR)"
3467,82,0,"(field=Album,query=T-Time新歌精选,fuzzy=1,searchType=SR)"
2587,78,0,"(field=Album,query=Because Of You - Remixes,fuzzy=1,searchType=SR)"
4157,119,0,"(field=Album,query=Red (Deluxe Version),fuzzy=1,searchType=SR)"
2787,102,0,"(field=Album,query=Now That S What I Call Music! 20,fuzzy=1,searchType=SR)"
3388,103,0,"(field=Album,query=中国好声音第二季 终极考核,fuzzy=1,searchType=SR)"
2371,105,0,"(field=Album,query=Breakaway,fuzzy=1,searchType=SR)"
3716,695,0,"(field=Album,query=Stronger,fuzzy=1,searchType=SR)"
4173,284,0,"(field=Album,query=The Fame,fuzzy=1,searchType=SR)"
3332,236,0,"(field=Album,query=Surfacing,fuzzy=1,searchType=SR)"
2771,226,0,"(field=Album,query=Native,fuzzy=1,searchType=SR)"
3764,255,0,"(field=Album,query=Native,fuzzy=1,searchType=SR)"
4202,213,0,"(field=Album,query=Here We Go Again,fuzzy=1,searchType=SR)"
3427,111,0,"(field=Album,query=My World,fuzzy=1,searchType=SR)"
3153,119,0,"(field=Album,query=2014湖南卫视跨年演唱会,fuzzy=1,searchType=SR)"
3072,77,0,"(field=Album,query=全我所求(All I Ever Wanted),fuzzy=1,searchType=SR)"
4144,316,0,"(field=Album,query=Curiosity,fuzzy=1,searchType=SR)"
3343,77,0,"(field=Album,query=DJ·Mix 跳舞专辑,fuzzy=1,searchType=SR)"
3054,252,0,"(field=Album,query=Face To Face,fuzzy=1,searchType=SR)"
3844,71,0,"(field=Album,query=七年之痒,fuzzy=1,searchType=SR)"
4810,290,0,"(field=Album,query=Surfacing,fuzzy=1,searchType=SR)"
3638,242,0,"(field=Album,query=Don'T Forget,fuzzy=1,searchType=SR)"
3286,78,0,"(field=Album,query=我的歌声里,fuzzy=1,searchType=SR)"
3663,96,0,"(field=Album,query=My Worlds,fuzzy=1,searchType=SR)"
5005,33,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
4176,164,0,"(field=Album,query=Goodbye Lullaby,fuzzy=1,searchType=SR)"
3303,104,0,"(field=Album,query=我的歌声里,fuzzy=1,searchType=SR)"
3479,224,0,"(field=Album,query=Meteora,fuzzy=1,searchType=SR)"
4191,210,0,"(field=Album,query=Global Warming,fuzzy=1,searchType=SR)"
3630,144,0,"(field=Album,query=The Hunting Party,fuzzy=1,searchType=SR)"
2533,115,0,"(field=Album,query=恋爱的力量 (新歌+精选),fuzzy=1,searchType=SR)"
3280,229,0,"(field=Album,query=Planet Pit,fuzzy=1,searchType=SR)"
3891,87,0,"(field=Album,query=Give Your Heart A Break,fuzzy=1,searchType=SR)"
4370,71,0,"(field=Album,query=Kenny G Live,fuzzy=1,searchType=SR)"
3294,65,0,"(field=Album,query=For A Quiet Evening,fuzzy=1,searchType=SR)"
3069,119,0,"(field=Album,query=金钟奖中国音超 第9期,fuzzy=1,searchType=SR)"
3587,93,0,"(field=Album,query=我的歌声里,fuzzy=1,searchType=SR)"
4891,41,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
4147,258,0,"(field=Album,query=Stronger,fuzzy=1,searchType=SR)"
3440,185,0,"(field=Album,query=Here We Go Again,fuzzy=1,searchType=SR)"
3939,231,0,"(field=Album,query=Hot N Cold,fuzzy=1,searchType=SR)"
4357,170,0,"(field=Album,query=缘份的天空,fuzzy=1,searchType=SR)"
2655,75,0,"(field=Album,query=大海,fuzzy=1,searchType=SR)"
3571,107,0,"(field=Album,query=Red (Deluxe Version),fuzzy=1,searchType=SR)"
3099,86,0,"(field=Album,query=Kiss Deluxe Version,fuzzy=1,searchType=SR)"
4752,69,0,"(field=Album,query=舞动人生,fuzzy=1,searchType=SR)"
3478,279,0,"(field=Album,query=The Best Damn Thing,fuzzy=1,searchType=SR)"
2604,213,0,"(field=Album,query=Demi,fuzzy=1,searchType=SR)"
2803,77,0,"(field=Album,query=Frozen 冰雪大冒险,fuzzy=1,searchType=SR)"
4137,171,0,"(field=Album,query=Hybrid Theory,fuzzy=1,searchType=SR)"
4409,161,0,"(field=Album,query=The Best Damn Thing,fuzzy=1,searchType=SR)"
3412,92,0,"(field=Album,query=我的歌声里,fuzzy=1,searchType=SR)"
3113,133,0,"(field=Album,query=Over The Rainbow,fuzzy=1,searchType=SR)"
3922,99,0,"(field=Album,query=Born This Way,fuzzy=1,searchType=SR)"
4261,83,0,"(field=Album,query=Just Dance,fuzzy=1,searchType=SR)"
3528,70,0,"(field=Album,query=Unity - The Official Athens 2004 Olympic Games Album,fuzzy=1,searchType=SR)"
3634,71,0,"(field=Album,query=The Taylor Swift Holiday Collection,fuzzy=1,searchType=SR)"
3200,130,0,"(field=Album,query=2010年12月欧美新歌速递2,fuzzy=1,searchType=SR)"
4283,291,0,"(field=Album,query=Let It Go,fuzzy=1,searchType=SR)"
3328,245,0,"(field=Album,query=Avril Lavigne,fuzzy=1,searchType=SR)"
2644,275,0,"(field=Album,query=Heart And Soul,fuzzy=1,searchType=SR)"
3604,101,0,"(field=Album,query=我的歌声里,fuzzy=1,searchType=SR)"
4088,87,0,"(field=Album,query=Graceland 恩赐之地,fuzzy=1,searchType=SR)"
4165,299,0,"(field=Album,query=Curtain Call,fuzzy=1,searchType=SR)"
3325,357,0,"(field=Album,query=To Hebe,fuzzy=1,searchType=SR)"
3479,110,0,"(field=Album,query=My World,fuzzy=1,searchType=SR)"
4256,75,0,"(field=Album,query=Xscape (Deluxe),fuzzy=1,searchType=SR)"
3894,78,0,"(field=Album,query=Say The Words 我为你歌唱,fuzzy=1,searchType=SR)"
3180,100,0,"(field=Album,query=节奏大师 曲目集合 Rhythm Master Collection I,fuzzy=1,searchType=SR)"
3706,71,0,"(field=Album,query=Kikujiro,fuzzy=1,searchType=SR)"
4068,223,0,"(field=Album,query=Demi,fuzzy=1,searchType=SR)"
4176,96,0,"(field=Album,query=中国好声音第二季 巅峰之夜,fuzzy=1,searchType=SR)"
3661,66,0,"(field=Album,query=The Fame Monster (Deluxe Edition),fuzzy=1,searchType=SR)"
2588,61,0,"(field=Album,query=Dawn Of A New Century,fuzzy=1,searchType=SR)"
2574,79,0,"(field=Album,query=Kiss Deluxe Version,fuzzy=1,searchType=SR)"
4491,64,0,"(field=Album,query=Planet Pit (Deluxe Version),fuzzy=1,searchType=SR)"
4154,113,0,"(field=Album,query=Songbird-The Ultimate Collection,fuzzy=1,searchType=SR)"
3511,90,0,"(field=Album,query=Speak Now,fuzzy=1,searchType=SR)"
3414,223,0,"(field=Album,query=Demi,fuzzy=1,searchType=SR)"
4955,287,0,"(field=Album,query=The Love Album,fuzzy=1,searchType=SR)"
3433,413,0,"(field=Album,query=Meteora,fuzzy=1,searchType=SR)"
2843,120,0,"(field=Album,query=Xposed,fuzzy=1,searchType=SR)"
3124,63,0,"(field=Album,query=挑信,fuzzy=1,searchType=SR)"
4715,96,0,"(field=Album,query=我是歌手 第七期,fuzzy=1,searchType=SR)"
4787,122,0,"(field=Album,query=Global Warming,fuzzy=1,searchType=SR)"
3486,157,0,"(field=Album,query=Over The Rainbow,fuzzy=1,searchType=SR)"
2711,275,0,"(field=Album,query=Songs From A Secret Garden,fuzzy=1,searchType=SR)"
3803,337,0,"(field=Album,query=Part Of Me,fuzzy=1,searchType=SR)"
3804,177,0,"(field=Album,query=Songs From A Secret Garden,fuzzy=1,searchType=SR)"
3694,73,0,"(field=Album,query=Overexposed,fuzzy=1,searchType=SR)"
3889,362,0,"(field=Album,query=Teenage Dream,fuzzy=1,searchType=SR)"
4522,317,0,"(field=Album,query=Native,fuzzy=1,searchType=SR)"
3645,353,0,"(field=Album,query=Planet Pit,fuzzy=1,searchType=SR)"
4071,217,0,"(field=Album,query=The Marshall Mathers LP2,fuzzy=1,searchType=SR)"
3641,138,0,"(field=Album,query=Red (Deluxe Version),fuzzy=1,searchType=SR)"
3479,123,0,"(field=Album,query=run away,fuzzy=1,searchType=SR)"
2694,273,0,"(field=Album,query=The Hunger Games: Songs From District 12 And Beyond,fuzzy=1,searchType=SR)"
3706,207,0,"(field=Album,query=Westlife,fuzzy=1,searchType=SR)"
4407,92,0,"(field=Album,query=1.22.03 Acoustic,fuzzy=1,searchType=SR)"
3291,301,0,"(field=Album,query=A Little Love,fuzzy=1,searchType=SR)"
3422,220,0,"(field=Album,query=Smile,fuzzy=1,searchType=SR)"
3411,298,0,"(field=Album,query=Number Ones,fuzzy=1,searchType=SR)"
4248,262,0,"(field=Album,query=Recovery,fuzzy=1,searchType=SR)"
3844,157,0,"(field=Album,query=Taylor Swift,fuzzy=1,searchType=SR)"
3471,92,0,"(field=Album,query=Stronger (What Doesn'T Kill You),fuzzy=1,searchType=SR)"
3119,495,0,"(field=Album,query=Songs About Jane,fuzzy=1,searchType=SR)"
4221,367,0,"(field=Album,query=Surfacing,fuzzy=1,searchType=SR)"
4377,130,0,"(field=Album,query=Global Warming,fuzzy=1,searchType=SR)"
3407,817,0,"(field=Album,query=At Last...The Duets Album/ Breathless,fuzzy=1,searchType=SR)"
2685,242,0,"(field=Album,query=Once In A Red Moon,fuzzy=1,searchType=SR)"
3534,67,0,"(field=Album,query=Kikujiro,fuzzy=1,searchType=SR)"
4148,840,0,"(field=Album,query=This Is How We Do,fuzzy=1,searchType=SR)"
3786,79,0,"(field=Album,query=Music From The 3D Concert Experience,fuzzy=1,searchType=SR)"
3711,89,0,"(field=Album,query=Bbc Radio 1'S Live Lounge Volume 6,fuzzy=1,searchType=SR)"
3422,252,0,"(field=Album,query=Timber,fuzzy=1,searchType=SR)"
5813,378,0,"(field=Album,query=Turnaround,fuzzy=1,searchType=SR)"
4535,100,0,"(field=Album,query=Kiss Deluxe Version,fuzzy=1,searchType=SR)"
3433,118,0,"(field=Album,query=Wrapped In Red,fuzzy=1,searchType=SR)"
3935,144,0,"(field=Album,query=Walk Away,fuzzy=1,searchType=SR)"
4088,237,0,"(field=Album,query=Demi,fuzzy=1,searchType=SR)"
4088,252,0,"(field=Album,query=Wastelands,fuzzy=1,searchType=SR)"
