/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M104_150.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:62,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":62, "wakeup":1, "nStartBytes":1156480, "nEndBytes":1172800}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M104_151.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:84,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":84, "wakeup":1, "nStartBytes":1205440, "nEndBytes":1221760}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M104_152.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:58,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":58, "wakeup":1, "nStartBytes":1255360, "nEndBytes":1271040}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M014_149.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:62,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":62, "wakeup":1, "nStartBytes":1304640, "nEndBytes":1320320}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M014_150.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:117,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":117, "wakeup":1, "nStartBytes":1352640, "nEndBytes":1368640}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M014_151.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:135,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":135, "wakeup":1, "nStartBytes":1400960, "nEndBytes":1417920}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M014_152.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:97,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":97, "wakeup":1, "nStartBytes":1449600, "nEndBytes":1465920}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M015_149.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:102,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":102, "wakeup":1, "nStartBytes":1498240, "nEndBytes":1517440}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M015_150.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:101,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":101, "wakeup":1, "nStartBytes":1550400, "nEndBytes":1570240}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M015_151.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:80,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":80, "wakeup":1, "nStartBytes":1602560, "nEndBytes":1622720}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M015_152.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:73,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":73, "wakeup":1, "nStartBytes":1657280, "nEndBytes":1676480}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M107_149.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:65,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":65, "wakeup":1, "nStartBytes":1709760, "nEndBytes":1728320}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M107_150.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:38,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":38, "wakeup":1, "nStartBytes":1762560, "nEndBytes":1780480}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M107_151.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:83,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":83, "wakeup":1, "nStartBytes":1813440, "nEndBytes":1832000}
/MVWTestSuite/MVWTestEffect_WithTime/SceneId-4/X1/M107_152.wav	nMvwScene:4,nMvwId:7,nMvwRlt:取消,nMvwScore:34,lParam:{"nMvwScene":4, "nMvwId":7, "nMvwScore":34, "wakeup":1, "nStartBytes":1866240, "nEndBytes":1883200}
