,strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms),,,,<1.2s,1.2s-2s,2s-3s,>3s
cmd,/data/AIUI/sr/600/0119-02.pcm,1.49932E+12,1570,1.49932E+12,1912,,,,FALSE,TRUE,FALSE,FALSE
cmd,/data/AIUI/sr/600/0123-04.pcm,1.49932E+12,1510,1.49932E+12,1589,,,,FALSE,TRUE,FALSE,FALSE
cmd,/data/AIUI/sr/600/0136-03.pcm,1.49932E+12,1410,1.49932E+12,1483,,,,FALSE,TRUE,FALSE,FALSE
cmd,/data/AIUI/sr/600/0139-05.pcm,1.49932E+12,1640,1.49932E+12,1737,,,,FALSE,TRUE,FALSE,FALSE
cmd,/data/AIUI/sr/600/0145-04.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
cmd,/data/AIUI/sr/600/0146-02.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
cmd,/data/AIUI/sr/600/0149-03.pcm,1.49932E+12,1820,1.49932E+12,1710,,,,FALSE,TRUE,FALSE,FALSE
cmd,/data/AIUI/sr/600/0150-04.pcm,1.49932E+12,2040,1.49932E+12,1819,,,,FALSE,TRUE,FALSE,FALSE
cmd,/data/AIUI/sr/600/0168-02.pcm,1.49932E+12,1800,1.49932E+12,2337,,,,FALSE,FALSE,TRUE,FALSE
flight,/data/AIUI/sr/600/0349-01.pcm,1.49932E+12,1700,1.49932E+12,1598,,1748,,FALSE,TRUE,FALSE,FALSE
flight,/data/AIUI/sr/600/0349-02.pcm,1.49932E+12,1880,1.49932E+12,1370,,,,FALSE,TRUE,FALSE,FALSE
flight,/data/AIUI/sr/600/0349-03.pcm,1.49932E+12,1880,1.49932E+12,1692,,,,FALSE,TRUE,FALSE,FALSE
flight,/data/AIUI/sr/600/0349-04.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
flight,/data/AIUI/sr/600/0349-05.pcm,1.49932E+12,860,1.49932E+12,1571,,,,FALSE,TRUE,FALSE,FALSE
flight,/data/AIUI/sr/600/0350-01.pcm,1.49932E+12,1540,1.49932E+12,1759,,,,FALSE,TRUE,FALSE,FALSE
flight,/data/AIUI/sr/600/0350-02.pcm,1.49932E+12,1600,1.49932E+12,1610,,,,FALSE,TRUE,FALSE,FALSE
