sr_time:607, nlu_time:74, sum_time:687
sr_time:301, nlu_time:80, sum_time:387
sr_time:406, nlu_time:65, sum_time:476
sr_time:376, nlu_time:156, sum_time:539
sr_time:349, nlu_time:101, sum_time:455
sr_time:243, nlu_time:184, sum_time:434
sr_time:1327, nlu_time:62, sum_time:1395
sr_time:452, nlu_time:171, sum_time:630
sr_time:407, nlu_time:184, sum_time:598
sr_time:193, nlu_time:103, sum_time:302
sr_time:515, nlu_time:85, sum_time:606
sr_time:218, nlu_time:206, sum_time:430
sr_time:426, nlu_time:92, sum_time:525
sr_time:405, nlu_time:209, sum_time:620
sr_time:655, nlu_time:154, sum_time:814
sr_time:160, nlu_time:105, sum_time:271
sr_time:304, nlu_time:91, sum_time:401
sr_time:342, nlu_time:230, sum_time:578
sr_time:502, nlu_time:64, sum_time:572
sr_time:974, nlu_time:56, sum_time:1038
sr_time:471, nlu_time:109, sum_time:586
sr_time:598, nlu_time:59, sum_time:664
sr_time:260, nlu_time:126, sum_time:393
sr_time:544, nlu_time:136, sum_time:687
sr_time:393, nlu_time:102, sum_time:503
sr_time:330, nlu_time:123, sum_time:460
sr_time:302, nlu_time:175, sum_time:485
sr_time:512, nlu_time:160, sum_time:678
sr_time:287, nlu_time:103, sum_time:397
sr_time:848, nlu_time:76, sum_time:930
sr_time:675, nlu_time:116, sum_time:800
sr_time:783, nlu_time:80, sum_time:870
sr_time:821, nlu_time:193, sum_time:1021
sr_time:787, nlu_time:102, sum_time:895
sr_time:806, nlu_time:100, sum_time:913
sr_time:785, nlu_time:92, sum_time:884
sr_time:528, nlu_time:87, sum_time:621
sr_time:650, nlu_time:81, sum_time:738
sr_time:671, nlu_time:81, sum_time:759
sr_time:336, nlu_time:82, sum_time:425
sr_time:565, nlu_time:77, sum_time:649
sr_time:756, nlu_time:68, sum_time:831
sr_time:783, nlu_time:48, sum_time:842
sr_time:571, nlu_time:96, sum_time:674
sr_time:981, nlu_time:135, sum_time:1122
sr_time:540, nlu_time:138, sum_time:686
sr_time:733, nlu_time:102, sum_time:842
sr_time:622, nlu_time:131, sum_time:761
sr_time:727, nlu_time:135, sum_time:876
sr_time:517, nlu_time:168, sum_time:692
sr_time:402, nlu_time:134, sum_time:543
sr_time:369, nlu_time:90, sum_time:469
sr_time:403, nlu_time:152, sum_time:562
sr_time:261, nlu_time:122, sum_time:389
sr_time:430, nlu_time:129, sum_time:565
sr_time:285, nlu_time:146, sum_time:437
sr_time:373, nlu_time:101, sum_time:481
sr_time:280, nlu_time:170, sum_time:458
sr_time:366, nlu_time:112, sum_time:485
sr_time:354, nlu_time:83, sum_time:445
sr_time:255, nlu_time:122, sum_time:383
sr_time:818, nlu_time:90, sum_time:938
sr_time:548, nlu_time:160, sum_time:716
sr_time:340, nlu_time:142, sum_time:488
sr_time:895, nlu_time:151, sum_time:1052
sr_time:262, nlu_time:157, sum_time:425
sr_time:809, nlu_time:104, sum_time:921
sr_time:462, nlu_time:145, sum_time:615
sr_time:842, nlu_time:91, sum_time:940
sr_time:1038, nlu_time:93, sum_time:1139
sr_time:995, nlu_time:167, sum_time:1173
sr_time:235, nlu_time:125, sum_time:366
sr_time:197, nlu_time:150, sum_time:353
sr_time:197, nlu_time:87, sum_time:290
sr_time:446, nlu_time:141, sum_time:594
sr_time:382, nlu_time:88, sum_time:476
sr_time:358, nlu_time:83, sum_time:447
sr_time:571, nlu_time:82, sum_time:660
sr_time:765, nlu_time:84, sum_time:856
sr_time:411, nlu_time:138, sum_time:555
sr_time:1250, nlu_time:86, sum_time:1343
sr_time:622, nlu_time:88, sum_time:717
sr_time:639, nlu_time:77, sum_time:723
sr_time:219, nlu_time:85, sum_time:310
sr_time:545, nlu_time:107, sum_time:661
sr_time:581, nlu_time:135, sum_time:726
sr_time:659, nlu_time:108, sum_time:774
sr_time:365, nlu_time:168, sum_time:539
sr_time:760, nlu_time:81, sum_time:852
sr_time:791, nlu_time:85, sum_time:882
sr_time:542, nlu_time:82, sum_time:630
sr_time:699, nlu_time:102, sum_time:808
sr_time:556, nlu_time:71, sum_time:633
sr_time:619, nlu_time:120, sum_time:746
sr_time:594, nlu_time:140, sum_time:745
sr_time:529, nlu_time:143, sum_time:677
sr_time:632, nlu_time:80, sum_time:719
sr_time:379, nlu_time:75, sum_time:460
sr_time:306, nlu_time:133, sum_time:445
sr_time:595, nlu_time:139, sum_time:740
sr_time:624, nlu_time:72, sum_time:702
