native_heap_alloc,native_pss,dalvik_heap_alloc,dalvik_pss
7065,32,4296,7738
7066,32,4428,7738
7061,32,3551,7738
7062,32,3684,7738
7063,32,3815,7738
7064,32,3947,7738
7065,32,4082,7738
7065,32,4216,7738
7066,32,4372,7738
7067,32,4506,7738
7063,32,3601,7738
7064,32,3732,7738
7065,32,3866,7738
7065,32,4000,7738
7066,32,4157,7738
7067,32,4291,7738
7068,32,4423,7738
7064,32,3517,7738
7065,32,3652,7738
7065,32,3785,7738
7066,32,3919,7738
7067,32,4073,7738
7068,32,4208,7738
7069,32,4338,7738
7069,32,4472,7738
7065,32,3573,7738
7066,32,3704,7738
7067,32,3861,7738
7068,32,3997,7738
7069,32,4126,7738
7070,32,4260,7738
7070,32,4393,7738
7071,32,4527,7738
7067,32,3649,7738
7068,32,3784,7738
7069,32,3915,7738
7070,32,4047,7738
7070,32,4179,7738
7071,32,4314,7738
7072,32,4447,7738
7068,32,3572,7738
7069,32,3703,7738
7069,32,3835,7738
7070,32,3966,7738
7071,32,4101,7738
7072,32,4234,7738
7073,32,4391,7738
7074,32,4526,7738
7069,32,3619,7738
7070,32,3747,7738
7071,32,3880,7738
7072,32,4011,7738
7073,32,4144,7738
7074,32,4301,7738
7075,32,4433,7738
7070,32,3520,7738
7071,32,3654,7738
7072,32,3788,7738
7072,32,3918,7738
7074,32,4080,7738
7074,32,4209,7738
7075,32,4344,7738
7076,32,4472,7738
7072,32,3584,7738
7073,32,3716,7738
7073,32,3850,7738
7074,32,4007,7738
7075,32,4140,7738
7076,32,4272,7738
7077,32,4400,7738
7077,32,4536,7738
7073,32,3637,7738
7074,32,3795,7738
7075,32,3925,7738
7076,32,4060,7738
7077,32,4189,7738
7078,32,4322,7738
7078,32,4456,7738
7074,32,3554,7738
7075,32,3712,7738
7076,32,3845,7738
7077,32,3976,7738
7078,32,4107,7738
7078,32,4243,7738
7079,32,4375,7738
7080,32,4533,7738
7076,32,3633,7738
7077,32,3765,7738
7077,32,3894,7738
7078,32,4028,7738
7079,32,4162,7738
7080,32,4319,7738
7081,32,4453,7738
7077,32,3549,7738
7077,32,3681,7738
7078,32,3814,7738
7079,32,3947,7738
7080,32,4081,7738
7081,32,4235,7738
7082,32,4371,7738
7082,32,4499,7738
7078,32,3594,7738
7079,32,3726,7738
7080,32,3859,7738
7081,32,4015,7738
7081,32,4151,7738
7082,32,4281,7738
7083,32,4413,7738
7079,32,3517,7738
7080,32,3649,7738
7081,32,3810,7738
7081,32,3940,7738
7082,32,4075,7738
7083,32,4205,7738
7084,32,4340,7738
7085,32,4473,7738
7080,32,3585,7738
7081,32,3740,7738
7082,32,3875,7738
7083,32,4003,7738
7084,32,4137,7738
7085,32,4269,7738
7085,32,4403,7738
7081,32,3517,7738
7082,32,3652,7738
7083,32,3784,7738
7084,32,3914,7738
7084,32,4049,7738
7085,32,4180,7738
7086,32,4340,7738
7087,32,4470,7738
7083,32,3583,7738
7084,32,3711,7738
7084,32,3845,7738
7085,32,3978,7738
7086,32,4112,7738
7087,32,4268,7738
7088,32,4401,7738
7089,32,4534,7738
7084,32,3628,7738
7085,32,3762,7738
7086,32,3898,7738
7087,32,4055,7738
7088,32,4187,7738
7089,32,4319,7738
7089,32,4450,7738
7085,32,3547,7738
7086,32,3682,7738
7087,32,3815,7738
7088,32,3973,7738
7089,32,4105,7738
7089,32,4233,7738
7090,32,4367,7738
7091,32,4499,7738
7087,32,3592,7738
7088,32,3748,7738
7088,32,3880,7738
7089,32,4014,7738
7090,32,4142,7738
7091,32,4278,7738
7092,32,4411,7738
7087,32,3520,7738
7088,32,3651,7738
7089,32,3787,7738
7090,32,3915,7738
7091,32,4053,7738
7091,32,4186,7738
7092,32,4320,7738
7093,32,4475,7738
7089,32,3619,7738
7090,32,3748,7738
7091,32,3881,7738
7092,32,4014,7738
7092,32,4148,7738
7094,32,4304,7738
7094,32,4441,7738
7090,32,3527,7738
7091,32,3661,7738
7091,32,3795,7738
7092,32,3928,7738
7093,32,4086,7738
7094,32,4218,7738
7095,32,4351,7738
7096,32,4481,7738
7092,32,3592,7738
7092,32,3723,7738
7093,32,3859,7738
7094,32,4012,7738
7095,32,4149,7738
7096,32,4277,7738
7096,32,4412,7738
7097,32,4545,7738
7093,32,3641,7738
7094,32,3798,7738
7095,32,3935,7738
7096,32,4064,7738
7097,32,4197,7738
7097,32,4331,7738
7098,32,4461,7738
7094,32,3587,7738
7095,32,3717,7738
7096,32,3853,7738
7097,32,3980,7738
7097,32,4115,7738
7098,32,4247,7738
7099,32,4381,7738
7100,32,4538,7738
7096,32,3636,7738
7096,32,3768,7738
7097,32,3896,7738
7098,32,4030,7738
7099,32,4167,7738
7100,32,4322,7738
7101,32,4456,7738
7096,32,3551,7738
7097,32,3683,7738
7098,32,3816,7738
7099,32,3951,7738
7100,32,4084,7738
7101,32,4240,7738
7101,32,4374,7738
7102,32,4502,7738
7098,32,3591,7742
7099,32,3723,7742
7099,32,3858,7742
7100,32,4015,7742
7101,32,4145,7742
7102,32,4279,7742
7103,32,4408,7742
7103,32,3517,7742
7099,32,3653,7742
7100,32,3786,7742
7101,32,3943,7742
7102,32,4076,7742
7103,32,4204,7742
7104,32,4339,7742
7104,32,4471,7742
7100,32,3569,7742
7101,32,3725,7742
7102,32,3862,7742
7103,32,3991,7742
7104,32,4124,7742
7104,32,4258,7742
7105,32,4391,7742
4509,32,4520,7742
4502,32,3561,7742
4503,32,3672,7742
4503,32,3784,7742
4504,32,3895,7742
4505,32,4007,7742
4506,32,4118,7742
4506,32,4229,7742
4507,32,4341,7742
4508,32,4452,7742
4503,32,3538,7742
4503,32,3650,7742
4504,32,3762,7742
4505,32,3873,7742
4506,32,3985,7742
4506,32,4096,7742
4507,32,4208,7742
4508,32,4319,7742
4509,32,4430,7742
4504,32,3529,7742
4505,32,3641,7742
4506,32,3752,7742
4506,32,3864,7742
4507,32,3975,7742
4508,32,4087,7742
4509,32,4198,7742
4509,32,4310,7742
4510,32,4421,7742
