loadRes_time,srh_time,srh ret,text
105,36,0,"(field=Album,query=Hybrid Theory,fuzzy=1,searchType=SR)"
105,26,0,"(field=Album,query=The Best Damn Thing,fuzzy=1,searchType=SR)"
105,11,0,"(field=Album,query=我的歌声里,fuzzy=1,searchType=SR)"
108,19,0,"(field=Album,query=Over The Rainbow,fuzzy=1,searchType=SR)"
107,12,0,"(field=Album,query=Born This Way,fuzzy=1,searchType=SR)"
105,12,0,"(field=Album,query=Just Dance,fuzzy=1,searchType=SR)"
105,11,0,"(field=Album,query=Unity - The Official Athens 2004 Olympic Games Album,fuzzy=1,searchType=SR)"
105,9,0,"(field=Album,query=The Taylor Swift Holiday Collection,fuzzy=1,searchType=SR)"
112,18,0,"(field=Album,query=2010年12月欧美新歌速递2,fuzzy=1,searchType=SR)"
105,36,0,"(field=Album,query=Let It Go,fuzzy=1,searchType=SR)"
105,39,0,"(field=Album,query=Avril Lavigne,fuzzy=1,searchType=SR)"
109,42,0,"(field=Album,query=Heart And Soul,fuzzy=1,searchType=SR)"
105,11,0,"(field=Album,query=我的歌声里,fuzzy=1,searchType=SR)"
106,9,0,"(field=Album,query=Graceland 恩赐之地,fuzzy=1,searchType=SR)"
105,40,0,"(field=Album,query=Curtain Call,fuzzy=1,searchType=SR)"
111,38,0,"(field=Album,query=To Hebe,fuzzy=1,searchType=SR)"
105,16,0,"(field=Album,query=My World,fuzzy=1,searchType=SR)"
105,8,0,"(field=Album,query=Xscape (Deluxe),fuzzy=1,searchType=SR)"
110,12,0,"(field=Album,query=Say The Words 我为你歌唱,fuzzy=1,searchType=SR)"
105,15,0,"(field=Album,query=节奏大师 曲目集合 Rhythm Master Collection I,fuzzy=1,searchType=SR)"
106,7,0,"(field=Album,query=Kikujiro,fuzzy=1,searchType=SR)"
105,32,0,"(field=Album,query=Demi,fuzzy=1,searchType=SR)"
119,14,0,"(field=Album,query=中国好声音第二季 巅峰之夜,fuzzy=1,searchType=SR)"
107,9,0,"(field=Album,query=The Fame Monster (Deluxe Edition),fuzzy=1,searchType=SR)"
105,8,0,"(field=Album,query=Dawn Of A New Century,fuzzy=1,searchType=SR)"
105,9,0,"(field=Album,query=Kiss Deluxe Version,fuzzy=1,searchType=SR)"
107,8,0,"(field=Album,query=Planet Pit (Deluxe Version),fuzzy=1,searchType=SR)"
104,20,0,"(field=Album,query=Songbird-The Ultimate Collection,fuzzy=1,searchType=SR)"
107,13,0,"(field=Album,query=Speak Now,fuzzy=1,searchType=SR)"
105,33,0,"(field=Album,query=Demi,fuzzy=1,searchType=SR)"
115,46,0,"(field=Album,query=The Love Album,fuzzy=1,searchType=SR)"
105,36,0,"(field=Album,query=Meteora,fuzzy=1,searchType=SR)"
105,17,0,"(field=Album,query=Xposed,fuzzy=1,searchType=SR)"
110,7,0,"(field=Album,query=挑信,fuzzy=1,searchType=SR)"
105,14,0,"(field=Album,query=我是歌手 第七期,fuzzy=1,searchType=SR)"
105,18,0,"(field=Album,query=Global Warming,fuzzy=1,searchType=SR)"
105,20,0,"(field=Album,query=Over The Rainbow,fuzzy=1,searchType=SR)"
111,31,0,"(field=Album,query=Songs From A Secret Garden,fuzzy=1,searchType=SR)"
106,43,0,"(field=Album,query=Part Of Me,fuzzy=1,searchType=SR)"
105,31,0,"(field=Album,query=Songs From A Secret Garden,fuzzy=1,searchType=SR)"
110,9,0,"(field=Album,query=Overexposed,fuzzy=1,searchType=SR)"
105,40,0,"(field=Album,query=Teenage Dream,fuzzy=1,searchType=SR)"
105,37,0,"(field=Album,query=Native,fuzzy=1,searchType=SR)"
107,47,0,"(field=Album,query=Planet Pit,fuzzy=1,searchType=SR)"
105,31,0,"(field=Album,query=The Marshall Mathers LP2,fuzzy=1,searchType=SR)"
105,16,0,"(field=Album,query=Red (Deluxe Version),fuzzy=1,searchType=SR)"
105,20,0,"(field=Album,query=run away,fuzzy=1,searchType=SR)"
110,28,0,"(field=Album,query=The Hunger Games: Songs From District 12 And Beyond,fuzzy=1,searchType=SR)"
107,32,0,"(field=Album,query=Westlife,fuzzy=1,searchType=SR)"
106,13,0,"(field=Album,query=1.22.03 Acoustic,fuzzy=1,searchType=SR)"
118,42,0,"(field=Album,query=A Little Love,fuzzy=1,searchType=SR)"
105,33,0,"(field=Album,query=Smile,fuzzy=1,searchType=SR)"
105,44,0,"(field=Album,query=Number Ones,fuzzy=1,searchType=SR)"
113,42,0,"(field=Album,query=Recovery,fuzzy=1,searchType=SR)"
104,10,0,"(field=Album,query=Taylor Swift,fuzzy=1,searchType=SR)"
104,10,0,"(field=Album,query=Stronger (What Doesn'T Kill You),fuzzy=1,searchType=SR)"
105,7,0,"(field=Album,query=Songs About Jane,fuzzy=1,searchType=SR)"
116,40,0,"(field=Album,query=Surfacing,fuzzy=1,searchType=SR)"
107,18,0,"(field=Album,query=Global Warming,fuzzy=1,searchType=SR)"
104,35,0,"(field=Album,query=At Last...The Duets Album/ Breathless,fuzzy=1,searchType=SR)"
109,41,0,"(field=Album,query=Once In A Red Moon,fuzzy=1,searchType=SR)"
106,7,0,"(field=Album,query=Kikujiro,fuzzy=1,searchType=SR)"
105,39,0,"(field=Album,query=This Is How We Do,fuzzy=1,searchType=SR)"
107,10,0,"(field=Album,query=Music From The 3D Concert Experience,fuzzy=1,searchType=SR)"
111,11,0,"(field=Album,query=Bbc Radio 1'S Live Lounge Volume 6,fuzzy=1,searchType=SR)"
106,37,0,"(field=Album,query=Timber,fuzzy=1,searchType=SR)"
105,37,0,"(field=Album,query=Turnaround,fuzzy=1,searchType=SR)"
109,9,0,"(field=Album,query=Kiss Deluxe Version,fuzzy=1,searchType=SR)"
106,18,0,"(field=Album,query=Wrapped In Red,fuzzy=1,searchType=SR)"
105,11,0,"(field=Album,query=Walk Away,fuzzy=1,searchType=SR)"
105,33,0,"(field=Album,query=Demi,fuzzy=1,searchType=SR)"
117,40,0,"(field=Album,query=Wastelands,fuzzy=1,searchType=SR)"
105,10,0,"(field=Album,query=2013 Grammy Nominees,fuzzy=1,searchType=SR)"
107,31,0,"(field=Album,query=Westlife,fuzzy=1,searchType=SR)"
106,10,0,"(field=Album,query=Stronger (Deluxe Version),fuzzy=1,searchType=SR)"
105,24,0,"(field=Album,query=What I'Ve Done,fuzzy=1,searchType=SR)"
105,23,0,"(field=Album,query=When I'M Gone,fuzzy=1,searchType=SR)"
105,12,0,"(field=Album,query=When You're Gone,fuzzy=1,searchType=SR)"
118,23,0,"(field=Album,query=King Of Pop,fuzzy=1,searchType=SR)"
105,13,0,"(field=Album,query=Katy Perry - Teenage Dream: The Complete Confection,fuzzy=1,searchType=SR)"
106,40,0,"(field=Album,query=Surfacing,fuzzy=1,searchType=SR)"
106,22,0,"(field=Album,query=King Of Pop,fuzzy=1,searchType=SR)"
109,37,0,"(field=Album,query=Face To Face,fuzzy=1,searchType=SR)"
107,24,0,"(field=Album,query=I'M In The Mood For Love ... The Most Romantic Melodies Of All Time,fuzzy=1,searchType=SR)"
105,3,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
113,13,0,"(field=Album,query=千金归来 电视原声带,fuzzy=1,searchType=SR)"
105,7,0,"(field=Album,query=信仰,fuzzy=1,searchType=SR)"
105,5,0,"(field=Album,query=爱出发,fuzzy=1,searchType=SR)"
105,6,0,"(field=Album,query=爱从草原来,fuzzy=1,searchType=SR)"
112,8,0,"(field=Album,query=秘密基地,fuzzy=1,searchType=SR)"
107,11,0,"(field=Album,query=Say The Words 我为你歌唱,fuzzy=1,searchType=SR)"
105,12,0,"(field=Album,query=曾经的歌系列 41,fuzzy=1,searchType=SR)"
105,14,0,"(field=Album,query=情义 新歌+精选 光耀全纪录,fuzzy=1,searchType=SR)"
120,2,4101,"(field=Album,query=,fuzzy=1,searchType=SR)"
